Job 9665           , total_duration: 596.4ms        , real_time_elapsed: 601.857183ms   
Job 9664           , total_duration: 144.72ms       , real_time_elapsed: 200.725983ms   
Job 9663           , total_duration: 553.449984ms   , real_time_elapsed: 602.023243ms   
Job 9662           , total_duration: 233.85ms       , real_time_elapsed: 300.762134ms   
Job 9660           , total_duration: 256.949984ms   , real_time_elapsed: 601.643534ms   
Job 9659           , total_duration: 1.185400064s   , real_time_elapsed: 2.507362571s   
Job 9656           , total_duration: 135.28ms       , real_time_elapsed: 300.570757ms   
Job 9653           , total_duration: 48.119ms       , real_time_elapsed: 100.136404ms   
Job 9655           , total_duration: 281.84ms       , real_time_elapsed: 902.411161ms   
Job 9652           , total_duration: 9.2978ms       , real_time_elapsed: 100.135634ms   
Job 9650           , total_duration: 44.987ms       , real_time_elapsed: 100.116414ms   
Job 9657           , total_duration: 1.593099904s   , real_time_elapsed: 6.515332938s   
Job 9658           , total_duration: 1.793499904s   , real_time_elapsed: 7.217305339s   
Job 9646           , total_duration: 167.89ms       , real_time_elapsed: 702.189374ms   
Job 9647           , total_duration: 277.12ms       , real_time_elapsed: 1.504880103s   
Job 9654           , total_duration: 1.095399936s   , real_time_elapsed: 5.915849547s   
Job 9644           , total_duration: 246.83ms       , real_time_elapsed: 1.003396023s   
Job 9645           , total_duration: 512.090016ms   , real_time_elapsed: 2.80975106s    
Job 9643           , total_duration: 526.5ms        , real_time_elapsed: 2.509061609s   
Job 9648           , total_duration: 1.711699968s   , real_time_elapsed: 9.33117751s    
Job 9649           , total_duration: 1.8704s        , real_time_elapsed: 10.13331022s   
Job 9640           , total_duration: 336.72ms       , real_time_elapsed: 1.204275875s   
Job 9638           , total_duration: 246.91ms       , real_time_elapsed: 1.002706481s   
Job 9637           , total_duration: 223.28ms       , real_time_elapsed: 902.111232ms   
Job 9636           , total_duration: 226.18ms       , real_time_elapsed: 802.034364ms   
Job 9635           , total_duration: 49.803ms       , real_time_elapsed: 100.082407ms   
Job 9639           , total_duration: 753.990016ms   , real_time_elapsed: 3.409199851s   
Job 9641           , total_duration: 1.560300032s   , real_time_elapsed: 7.221532755s   
